CPV Divisió;Divisió;Descripció Divisió;Tipus de contracte
03000000-1;03;Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins;Subministraments
09000000-3;09;Derivats del petroli, combustibles, electricitat i altres fonts d'energia;Subministraments
14000000-1;14;Productes de mineria, metalls de base i productes afins;Subministraments
15000000-8;15;Aliments, begudes, tabac i productes afins;Subministraments
16000000-5;16;Maquinària agrícola;Subministraments
18000000-9;18;Roba, calçat, articles de viatge i accessoris;Subministraments
19000000-6;19;Cuirs i tèxtils, i materials de plàstic i cautxú;Subministraments
22000000-0;22;Impresos i productes relacionats;Subministraments
24000000-4;24;Productes químics;Subministraments
30000000-9;30;Màquines, equips i articles d'oficina i d'informàtica, excepte mobiliari i paquets de programes;Subministraments
31000000-6;31;"Maquinària, aparells, equips i consumibles elèctrics; il·luminació";Subministraments
32000000-3;32;Equips i aparells de ràdio, televisió, comunicacions i telecomunicacions i equips afins;Subministraments
33000000-0;33;Equips mèdics i productes farmacèutics i d'higiene personal;Subministraments
34000000-7;34;Equips de transport i productes auxiliars de transport;Subministraments
35000000-4;35;Equip de seguretat, extinció d'incendis, policia i defensa;Subministraments
37000000-8;37;Instruments musicals, articles esportius, jocs, joguines, articles per a artesania, materials artístics i accessoris;Subministraments
38000000-5;38;Equip de laboratori, òptic i de precisió (excepte ulleres);Subministraments
39000000-2;39;Mobiliari (inclòs el d'oficina), complements de mobiliari, aparells domèstics (exclosa la il·luminació) i productes de neteja;Subministraments
41000000-9;41;Aigua recollida i depurada;Subministraments
42000000-6;42;Maquinària industrial;Subministraments
43000000-3;43;Maquinària de mineria, maquinària d'explotació de pedreres, equips de construcció;Subministraments
44000000-0;44;"Estructures i materials de construcció; productes auxiliars per a la construcció (excepte aparells elèctrics)";Subministraments
45000000-7;45;Treballs de construcció;Obres
48000000-8;48;Paquets de programes i sistemes d'informació;Subministraments
50000000-5;50;Serveis de reparació i manteniment;Serveis
51000000-9;51;Serveis d'instal·lació (excepte programari);Serveis
55000000-0;55;Serveis d'hostaleria, serveis de restauració i serveis comercials al detall;Serveis
60000000-8;60;Serveis de transport (exclòs el transport de residus);Serveis
63000000-9;63;"Serveis de transport complementaris i auxiliars; serveis d'agències de viatges";Serveis
64000000-6;64;Serveis de correus i telecomunicacions;Serveis
65000000-3;65;Serveis públics;Serveis
66000000-0;66;Serveis financers i d'assegurances;Serveis
70000000-1;70;Serveis immobiliaris;Serveis
71000000-8;71;Serveis d'arquitectura, construcció, enginyeria i inspecció;Serveis
72000000-5;72;Serveis de TI: assessorament, desenvolupament de programari, Internet i suport;Serveis
73000000-2;73;Serveis de recerca i desenvolupament i serveis d'assessorament afins;Serveis
75000000-6;75;Serveis de l'administració pública, de defensa i de la seguretat social;Serveis
76000000-3;76;Serveis relacionats amb la indústria del gas i del petroli;Serveis
77000000-0;77;Serveis agrícoles, forestals, hortícoles, aqüícoles i apícoles;Serveis
79000000-4;79;Serveis a empreses: legislació, màrqueting, assessorament, selecció de personal, impremta i seguretat;Serveis
80000000-4;80;Serveis d'ensenyament i formació;Serveis
85000000-9;85;Serveis de salut i assistència social;Serveis
90000000-7;90;Serveis de clavegueram, deixalles, neteja i medi ambient;Serveis
92000000-1;92;Serveis d'esplai, culturals i esportius;Serveis
98000000-3;98;Altres serveis comunitaris, socials o personals;Serveis
